FXD_ACCT_KEY,CAL_DT_KEY,CAL_MTH_KEY,MTH_END_FLAG,OPENING_STATUS,CLOSING_STATUS,OPENING_SEGMENT,CLOSING_SEGMENT,TECHNOLOGY,OPENING_BASE,ADDITIONS,DISCONNECTS,CLOSING_BASE,GROSS_ADDS,CHURN,MIGRATIONS,TITLE,SUBURB,CITY,POST_CODE,PYMNT_METHOD,SEG_KEY,HIST_START_DTTM,HIST_END_DTTM,CURR_IND,PROD_KEY,PROD_CD,PROD_DESCR,PROD_GRP_DESCR,PROD_TYPE,PROD_INTERNAL_DESCR,MLY_FEE_INCL_GST,CARE_CONTACT,DATA_USAGE
150495,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,HALSWELL,CHRISTCHURCH,8025,Direct Debit,1,4/10/2017 0:00,31/12/9999 0:00,Y,5621,APVB,Amazon Prime Video,OTHER,SUPSERVICE,NULL,8.99,0,150
72974,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,ILAM,,CHRISTCHURCH,Direct Debit,1,4/07/2018 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,0,150
209656,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,PAPATOETOE,AUCKLAND,2025,Direct Debit,1,14/05/2019 0:00,31/12/9999 0:00,Y,1114,2DBD, OPay Monthly Discount,DISCOUNT,SUPSERVICE,NULL,-10,0,150
203536,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,ADSL,1,0,1,0,0,1,0,NULL,KAWAKAWA,FAR,NORTH 0210,Cash,1,24/07/2019 0:00,31/12/9999 0:00,Y,4454,PCJDPG,Jan 18 $200 Joining Credit,PROMO,SUPSERVICE,NULL,0,0,150
115334,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,Otahuhu,AUCKLAND,1062,Visa,1,22/07/2019 0:00,31/12/9999 0:00,Y,3496,PC001,Unlimited Promotion Sign Up,PROMO,SUPSERVICE,NULL,0,0,150
188895,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,VDSL,1,0,0,1,0,0,0,NULL,MOUNT ALBERT,AUCKLAND,1025,Visa,1,6/11/2018 0:00,31/12/9999 0:00,Y,4454,PCJDPG,Jan 18 $200 Joining Credit,PROMO,SUPSERVICE,NULL,0,0,150
201136,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,MANGAKAKAHI,ROTORUA,3015,Visa,1,18/02/2019 0:00,31/12/9999 0:00,Y,5051,LOAN,2degrees Modem Rental,RENT,SUPSERVICE,NULL,0,0,150
59773,20190831,201908,Y,ACTIVE,ACTIVE,ENTERPRISE,ENTERPRISE,VDSL,1,0,0,1,0,0,0,NULL,Snells Beach,,Auckland,Cash,3,17/11/2016 0:00,31/12/9999 0:00,Y,1300,HPVM,Voicemail,VOICE,SUPSERVICE,NULL,8,0,150
197776,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,HUNTINGDON,ASHBURTON,7774,Visa,1,15/02/2019 0:00,31/12/9999 0:00,Y,1169,HPPUC,2degrees Home Phone Plus,VOICE,SUPSERVICE,NULL,15,0,150
195375,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,CASHMERE,CHRISTCHURCH,8022,Direct Debit,1,24/12/2018 0:00,31/12/9999 0:00,Y,5051,LOAN,2degrees Modem Rental,RENT,SUPSERVICE,NULL,0,0,150
138135,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,MOUNT EDEN,AUCKLAND,1024,Direct Debit,1,9/06/2017 0:00,31/12/9999 0:00,Y,3832,PCF2A,Unlimited Promotion Signup,PROMO,SUPSERVICE,NULL,0,0,150
69854,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,Rolleston,,Selwyn,Direct Debit,1,27/07/2017 0:00,31/12/9999 0:00,Y,1092,SID6,Snap Plus Phone Service,VOICE,SUPSERVICE,NULL,0,1,150
184575,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,AVALON,LOWER,HUTT 5011,Visa,1,8/10/2018 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,1,150
129374,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,VDSL,1,0,0,1,0,0,0,NULL,MASSEY,AUCKLAND,814,Direct Debit,1,28/03/2018 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,1,150
138015,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,ATAWHAI,NELSON,7010,Visa,1,21/06/2017 0:00,31/12/9999 0:00,Y,3832,PCF2A,Unlimited Promotion Signup,PROMO,SUPSERVICE,NULL,0,1,150
175095,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,NORTHCOTE,NORTH,SHORE 0627,Direct Debit,1,26/07/2018 0:00,31/12/9999 0:00,Y,4899,PCHSW5,APR 18 $70 Cross Sell,PROMO,SUPSERVICE,NULL,0,1,150
